央视频道,#genre#


CCTV-9,http://ott.mobaibox.com/PLTV/3/224/3221225532/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221225868/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227614/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227659/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227704/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228619/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228758/index.m3u8
CCTV-10,http://ott.mobaibox.com/PLTV/3/224/3221225548/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221225550/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227317/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227620/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227717/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228654/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228761/index.m3u8
CCTV-11,http://ott.mobaibox.com/PLTV/3/224/3221227384/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227524/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227720/index.m3u8

CCTV-12,http://ott.mobaibox.com/PLTV/3/224/3221225556/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227655/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228551/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228630/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228646/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228657/index.m3u8
CCTV-13,http://ott.mobaibox.com/PLTV/3/224/3221225560/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228121/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228224/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228324/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228649/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228660/index.m3u8
CCTV-14,http://ott.mobaibox.com/PLTV/3/224/3221227201/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227656/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227693/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228633/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228636/index.m3u8

CCTV-15,http://ott.mobaibox.com/PLTV/3/224/3221225817/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227538/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227723/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228622/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221228639/index.m3u8
